cse_id,alert_id,asset_id,severity,alert_type,created_time,acknowledged_time,investigation_start,investigation_end,closure_time,escalated,disposition,investigation_evidence,investigation_notes,asset_criticality,expected_activity,observed_activity
CSE-B,ALT-00017,ASSET-006,LOW,Unauthorized Access,2026-05-24 10:17:56,2026-05-24 10:42:30,2026-05-24 10:54:30,2026-05-24 13:29:05,2026-05-24 18:32:38,True,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,123,106
CSE-A,ALT-00018,ASSET-032,MEDIUM,Unauthorized Access,2026-06-08 13:02:55,2026-06-08 13:10:46,2026-06-08 13:24:46,2026-06-08 13:51:57,2026-06-08 20:57:37,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,180,180
CSE-A,ALT-00019,ASSET-099,LOW,Data Exfiltration,2026-02-21 15:42:22,2026-02-21 15:54:14,2026-02-21 16:02:14,2026-02-21 18:11:15,2026-02-21 23:27:35,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,162,155
CSE-E,ALT-00020,ASSET-074,HIGH,Malware,2026-01-30 08:54:11,2026-01-30 10:13:27,2026-01-30 10:33:27,2026-01-30 12:29:49,2026-01-30 18:05:05,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,81,54
CSE-E,ALT-00021,ASSET-052,LOW,Data Exfiltration,2026-04-04 14:38:39,2026-04-04 15:24:21,,,2026-04-04 20:56:53,False,False Positive,False,N/A,MEDIUM,102,58
CSE-D,ALT-00022,ASSET-095,MEDIUM,Suspicious Login,2026-06-07 15:55:35,2026-06-07 15:57:54,2026-06-07 16:11:54,2026-06-07 19:11:23,2026-06-08 00:30:37,True,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,90,83
CSE-E,ALT-00023,ASSET-092,HIGH,Data Exfiltration,2026-06-22 12:23:09,2026-06-22 12:31:11,2026-06-22 12:47:11,2026-06-22 15:29:05,2026-06-22 20:42:37,False,Benign True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,196,116
CSE-A,ALT-00024,ASSET-057,LOW,Brute Force,2026-04-19 17:50:29,2026-04-19 17:54:04,2026-04-19 17:58:04,2026-04-19 22:06:12,2026-04-20 03:42:39,False,Escalated to Tier-2,True,Alert correlated with threat intel; full timeline documented.,HIGH,172,183
CSE-E,ALT-00025,ASSET-092,MEDIUM,Suspicious Login,2026-05-02 13:13:53,2026-05-02 14:40:10,,,2026-05-02 23:21:50,False,False Positive,False,N/A,CRITICAL,139,84
CSE-A,ALT-00026,ASSET-090,HIGH,Data Exfiltration,2026-04-09 12:39:04,2026-04-09 12:54:30,2026-04-09 13:09:30,2026-04-09 16:56:33,2026-04-09 20:49:54,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,192,196
CSE-D,ALT-00027,ASSET-052,CRITICAL,Privilege Escalation,2026-03-18 14:18:34,2026-03-18 14:44:21,2026-03-18 15:04:21,2026-03-18 17:11:52,2026-03-19 00:01:22,True,Benign True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,197,165
CSE-E,ALT-00028,ASSET-049,CRITICAL,Unauthorized Access,2026-06-01 09:27:05,2026-06-01 10:54:32,2026-06-01 11:09:32,2026-06-01 12:00:35,2026-06-01 14:56:01,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,177,93
CSE-D,ALT-00029,ASSET-028,CRITICAL,Malware,2026-03-31 10:10:49,2026-03-31 10:32:51,2026-03-31 10:40:51,2026-03-31 12:38:44,2026-03-31 15:36:59,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,127,109
CSE-A,ALT-00030,ASSET-014,LOW,Suspicious Login,2026-03-21 09:26:59,2026-03-21 09:38:35,2026-03-21 09:51:35,2026-03-21 13:30:20,2026-03-21 11:41:12,False,Benign True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,118,127
CSE-A,ALT-00031,ASSET-020,LOW,Malware,2026-03-30 15:19:04,2026-03-30 15:37:45,2026-03-30 15:51:45,2026-03-30 20:16:51,2026-03-30 22:33:25,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,173,166
CSE-C,ALT-00032,ASSET-073,MEDIUM,Network Anomaly,2026-04-30 13:34:20,2026-04-30 14:29:35,,,2026-04-30 17:12:31,False,Under Investigation,False,,HIGH,138,36
CSE-C,ALT-00033,ASSET-063,CRITICAL,Data Exfiltration,2026-04-01 11:37:17,2026-04-01 12:34:55,,,2026-04-01 17:19:07,False,Under Investigation,False,Closed quickly — no notes.,CRITICAL,150,60
CSE-D,ALT-00034,ASSET-035,LOW,Brute Force,2026-03-17 13:09:19,2026-03-17 13:32:56,2026-03-17 13:50:56,2026-03-17 18:37:18,2026-03-18 03:16:31,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,109,87
CSE-C,ALT-00035,ASSET-023,CRITICAL,Suspicious Login,2026-02-19 17:15:17,2026-02-19 18:02:54,,,2026-02-19 19:14:47,False,False Positive,False,N/A,HIGH,106,18
CSE-E,ALT-00036,ASSET-015,HIGH,Suspicious Login,2026-06-13 16:45:06,2026-06-13 18:41:06,2026-06-13 18:57:06,2026-06-13 21:04:34,2026-06-13 22:14:09,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,172,115
CSE-A,ALT-00037,ASSET-076,HIGH,Phishing,2026-01-22 04:02:35,2026-01-22 04:29:01,2026-01-22 04:49:01,2026-01-22 06:59:50,2026-01-22 11:43:29,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,119,107
CSE-E,ALT-00038,ASSET-005,LOW,Brute Force,2026-02-23 13:30:42,2026-02-23 13:45:52,2026-02-23 14:03:52,2026-02-23 14:28:02,2026-02-23 21:09:20,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,142,105
CSE-A,ALT-00039,ASSET-096,MEDIUM,Phishing,2026-06-10 12:22:27,2026-06-10 12:28:01,2026-06-10 12:33:01,2026-06-10 15:04:53,2026-06-10 14:26:04,True,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,197,163
CSE-D,ALT-00040,ASSET-074,MEDIUM,Unauthorized Access,2026-03-11 17:25:28,2026-03-11 17:30:06,2026-03-11 17:44:06,2026-03-11 20:44:44,2026-03-11 18:56:11,True,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,82,95
CSE-C,ALT-00041,ASSET-045,HIGH,Suspicious Login,2026-05-01 16:32:58,2026-05-01 16:51:09,,,2026-05-01 22:37:01,False,True Positive,False,Closed quickly — no notes.,HIGH,131,49
CSE-C,ALT-00042,ASSET-001,HIGH,Network Anomaly,2026-03-15 15:50:52,2026-03-15 16:40:27,2026-03-15 16:43:27,2026-03-15 16:55:43,2026-03-15 18:00:16,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,159,43
CSE-B,ALT-00043,ASSET-031,MEDIUM,Network Anomaly,2026-06-10 09:52:13,2026-06-10 10:31:48,2026-06-10 10:41:48,2026-06-10 12:39:44,2026-06-10 13:05:49,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,149,117
CSE-D,ALT-00044,ASSET-059,HIGH,Brute Force,2026-04-29 22:06:53,2026-04-29 22:13:24,2026-04-29 22:23:24,2026-04-30 02:59:09,2026-04-30 06:19:17,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,129,112
CSE-E,ALT-00045,ASSET-045,LOW,Suspicious Login,2026-01-18 16:04:21,2026-01-18 17:49:53,2026-01-18 17:50:53,2026-01-18 19:08:39,2026-01-19 02:36:48,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,166,104
CSE-B,ALT-00046,ASSET-043,LOW,Data Exfiltration,2026-05-27 16:00:02,2026-05-27 16:45:49,2026-05-27 16:58:49,2026-05-27 18:42:31,2026-05-28 01:42:51,True,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,182,109
CSE-A,ALT-00047,ASSET-041,LOW,Unauthorized Access,2026-06-17 02:33:30,2026-06-17 03:00:46,2026-06-17 03:23:46,2026-06-17 07:02:27,2026-06-17 09:22:40,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,193,199
CSE-A,ALT-00048,ASSET-008,MEDIUM,Data Exfiltration,2026-06-11 13:54:14,2026-06-11 14:19:19,2026-06-11 14:23:19,2026-06-11 15:29:47,2026-06-11 20:11:16,True,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,127,112
CSE-E,ALT-00049,ASSET-060,HIGH,Suspicious Login,2026-02-13 15:31:39,2026-02-13 17:03:54,2026-02-13 17:22:54,2026-02-13 18:04:08,2026-02-13 21:49:23,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,110,52
CSE-E,ALT-00050,ASSET-085,HIGH,Unauthorized Access,2026-06-26 14:09:12,2026-06-26 15:04:06,2026-06-26 15:12:06,2026-06-26 16:54:42,2026-06-26 20:31:50,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,72,53
CSE-A,ALT-00051,ASSET-040,LOW,Network Anomaly,2026-03-15 07:51:38,2026-03-15 08:19:00,2026-03-15 08:26:00,2026-03-15 10:49:43,2026-03-15 19:47:06,False,Benign True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,84,77
CSE-A,ALT-00052,ASSET-062,LOW,Privilege Escalation,2026-04-17 11:15:50,2026-04-17 11:35:46,,,2026-04-17 20:54:44,False,True Positive,False,N/A,MEDIUM,117,118
CSE-A,ALT-00053,ASSET-048,MEDIUM,Brute Force,2026-02-06 07:42:55,2026-02-06 08:06:41,2026-02-06 08:19:41,2026-02-06 13:20:04,2026-02-06 15:35:41,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,166,140
CSE-C,ALT-00054,ASSET-006,CRITICAL,Data Exfiltration,2026-05-01 14:35:58,2026-05-01 15:16:12,,,2026-05-01 21:34:31,False,True Positive,False,N/A,CRITICAL,153,21
CSE-E,ALT-00055,ASSET-057,CRITICAL,Network Anomaly,2026-04-05 16:09:37,2026-04-05 17:50:23,2026-04-05 18:04:23,2026-04-05 20:56:29,2026-04-05 23:01:25,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,95,80
CSE-E,ALT-00056,ASSET-017,LOW,Privilege Escalation,2026-01-16 12:14:07,2026-01-16 14:07:59,2026-01-16 14:29:59,2026-01-16 15:29:40,2026-01-16 14:54:02,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,122,61
CSE-B,ALT-00057,ASSET-004,MEDIUM,Data Exfiltration,2026-03-26 20:20:00,2026-03-26 21:00:54,,,2026-03-27 06:44:10,False,True Positive,False,,CRITICAL,161,137
CSE-E,ALT-00058,ASSET-006,HIGH,Suspicious Login,2026-03-09 16:11:33,2026-03-09 16:31:20,2026-03-09 16:46:20,2026-03-09 18:23:52,2026-03-09 18:47:48,False,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,147,88
CSE-A,ALT-00059,ASSET-042,LOW,Unauthorized Access,2026-04-20 17:22:45,2026-04-20 17:38:49,2026-04-20 17:49:49,2026-04-20 19:19:53,2026-04-20 23:05:28,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,156,147
CSE-E,ALT-00060,ASSET-048,MEDIUM,Brute Force,2026-06-29 12:40:27,2026-06-29 13:43:23,2026-06-29 13:54:23,2026-06-29 15:55:48,2026-06-29 15:45:43,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,191,87
CSE-A,ALT-00061,ASSET-065,MEDIUM,Privilege Escalation,2026-02-03 14:37:42,2026-02-03 14:43:08,2026-02-03 15:05:08,2026-02-03 18:57:03,2026-02-03 20:22:46,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,164,146
CSE-C,ALT-00062,ASSET-085,LOW,Privilege Escalation,2026-01-30 19:35:14,2026-01-30 20:27:41,,,2026-01-31 02:02:24,False,True Positive,False,N/A,MEDIUM,124,13
CSE-C,ALT-00063,ASSET-044,LOW,Privilege Escalation,2026-01-02 11:26:36,2026-01-02 12:10:01,2026-01-02 12:34:01,2026-01-02 12:56:02,2026-01-02 18:52:34,False,Benign True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,129,58
CSE-E,ALT-00064,ASSET-015,CRITICAL,Malware,2026-02-09 09:50:43,2026-02-09 10:06:00,2026-02-09 10:20:00,2026-02-09 12:29:38,2026-02-09 14:11:48,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,194,127
CSE-A,ALT-00065,ASSET-030,HIGH,Malware,2026-01-02 12:36:49,2026-01-02 12:43:37,2026-01-02 12:54:37,2026-01-02 14:10:37,2026-01-02 20:48:48,True,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,186,182
CSE-A,ALT-00066,ASSET-080,MEDIUM,Malware,2026-04-22 10:19:55,2026-04-22 10:32:31,2026-04-22 10:45:31,2026-04-22 14:33:49,2026-04-22 18:11:32,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,168,176
CSE-D,ALT-00067,ASSET-025,LOW,Data Exfiltration,2026-04-22 17:56:05,2026-04-22 18:11:00,2026-04-22 18:22:00,2026-04-22 20:30:21,2026-04-22 20:29:32,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,124,115
CSE-B,ALT-00068,ASSET-082,HIGH,Suspicious Login,2026-03-07 11:36:48,2026-03-07 13:04:52,2026-03-07 13:29:52,2026-03-07 16:15:23,2026-03-07 21:14:35,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,152,141
CSE-C,ALT-00069,ASSET-065,CRITICAL,Brute Force,2026-05-01 14:10:50,2026-05-01 14:29:27,2026-05-01 14:46:27,2026-05-01 14:50:46,2026-05-01 14:12:13,False,Under Investigation,True,Alert correlated with threat intel; full timeline documented.,HIGH,191,77
CSE-D,ALT-00070,ASSET-068,LOW,Data Exfiltration,2026-03-24 17:33:09,2026-03-24 17:36:37,2026-03-24 17:47:37,2026-03-24 18:46:09,2026-03-24 19:16:52,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,100,88
CSE-D,ALT-00071,ASSET-045,MEDIUM,Privilege Escalation,2026-06-23 14:42:04,2026-06-23 14:54:10,2026-06-23 15:07:10,2026-06-23 17:47:26,2026-06-23 18:27:31,True,Benign True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,163,164
CSE-B,ALT-00072,ASSET-003,MEDIUM,Brute Force,2026-03-21 14:36:52,2026-03-21 14:58:34,2026-03-21 15:22:34,2026-03-21 18:23:32,2026-03-21 17:04:15,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,116,107
CSE-D,ALT-00073,ASSET-021,HIGH,Suspicious Login,2026-02-09 10:43:32,2026-02-09 11:03:25,2026-02-09 11:20:25,2026-02-09 11:55:07,2026-02-10 01:08:04,True,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,168,169
CSE-D,ALT-00074,ASSET-048,CRITICAL,Privilege Escalation,2026-06-23 16:34:39,2026-06-23 16:46:27,2026-06-23 17:01:27,2026-06-23 19:16:01,2026-06-24 07:35:17,False,Under Investigation,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,136,125
CSE-D,ALT-00075,ASSET-011,MEDIUM,Unauthorized Access,2026-02-11 20:38:08,2026-02-11 20:48:11,2026-02-11 21:00:11,2026-02-12 01:59:10,2026-02-12 09:57:05,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,114,108
CSE-B,ALT-00076,ASSET-013,LOW,Brute Force,2026-02-26 11:55:59,2026-02-26 12:04:25,2026-02-26 12:21:25,2026-02-26 14:01:40,2026-02-26 13:57:48,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,155,131
CSE-A,ALT-00077,ASSET-100,HIGH,Network Anomaly,2026-06-28 16:00:28,2026-06-28 16:21:28,2026-06-28 16:22:28,2026-06-28 18:48:41,2026-06-29 02:28:14,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,118,91
CSE-D,ALT-00078,ASSET-074,MEDIUM,Network Anomaly,2026-01-17 17:31:38,2026-01-17 17:50:39,2026-01-17 18:09:39,2026-01-17 20:28:24,2026-01-17 23:49:06,True,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,165,166
CSE-C,ALT-00079,ASSET-090,CRITICAL,Malware,2026-04-10 01:29:40,2026-04-10 01:55:03,,,2026-04-10 01:31:29,False,False Positive,False,Closed quickly — no notes.,CRITICAL,107,15
CSE-A,ALT-00080,ASSET-007,HIGH,Malware,2026-02-21 10:46:59,2026-02-21 10:58:31,2026-02-21 11:16:31,2026-02-21 15:33:47,2026-02-21 22:45:43,False,Under Investigation,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,122,103
CSE-D,ALT-00081,ASSET-024,LOW,Network Anomaly,2026-04-09 12:11:31,2026-04-09 12:36:02,2026-04-09 12:53:02,2026-04-09 15:24:53,2026-04-10 02:00:29,True,Benign True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,121,98
CSE-C,ALT-00082,ASSET-008,HIGH,Unauthorized Access,2026-02-12 14:59:28,2026-02-12 15:03:14,,,2026-02-12 20:37:41,False,Escalated to Tier-2,False,Closed quickly — no notes.,CRITICAL,171,51
CSE-B,ALT-00083,ASSET-048,LOW,Suspicious Login,2026-06-05 16:28:02,2026-06-05 16:49:06,2026-06-05 17:10:06,2026-06-05 18:48:29,2026-06-05 17:52:44,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,89,72
CSE-C,ALT-00084,ASSET-028,HIGH,Phishing,2026-03-05 00:53:47,2026-03-05 01:06:18,,,2026-03-05 02:26:34,False,Under Investigation,False,N/A,MEDIUM,126,53
CSE-B,ALT-00085,ASSET-023,CRITICAL,Brute Force,2026-04-26 16:35:05,2026-04-26 17:20:47,2026-04-26 17:23:47,2026-04-26 19:49:21,2026-04-26 20:32:32,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,101,92
CSE-B,ALT-00086,ASSET-074,LOW,Malware,2026-04-03 15:17:29,2026-04-03 16:32:37,2026-04-03 16:35:37,2026-04-03 16:56:56,2026-04-04 01:13:10,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,151,123
CSE-D,ALT-00087,ASSET-042,MEDIUM,Privilege Escalation,2026-02-02 18:49:40,2026-02-02 19:09:51,2026-02-02 19:14:51,2026-02-02 23:11:23,2026-02-02 22:17:24,True,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,108,99
CSE-C,ALT-00088,ASSET-020,LOW,Phishing,2026-02-20 13:41:08,2026-02-20 14:22:27,,,2026-02-20 19:00:08,False,Escalated to Tier-2,False,,CRITICAL,169,75
CSE-C,ALT-00089,ASSET-038,LOW,Malware,2026-01-08 13:31:41,2026-01-08 13:46:30,,,2026-01-08 19:33:31,False,Under Investigation,False,N/A,HIGH,128,45
CSE-D,ALT-00090,ASSET-098,HIGH,Brute Force,2026-06-26 16:30:26,2026-06-26 16:47:55,2026-06-26 17:07:55,2026-06-26 18:36:15,2026-06-27 06:19:50,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,151,120
CSE-D,ALT-00091,ASSET-064,HIGH,Network Anomaly,2026-03-05 09:51:18,2026-03-05 10:06:13,2026-03-05 10:14:13,2026-03-05 11:51:05,2026-03-05 20:57:59,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,139,129
CSE-D,ALT-00092,ASSET-034,CRITICAL,Unauthorized Access,2026-05-10 13:06:13,2026-05-10 13:26:35,2026-05-10 13:36:35,2026-05-10 18:05:13,2026-05-10 14:35:29,True,True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,126,95
CSE-E,ALT-00093,ASSET-044,MEDIUM,Privilege Escalation,2026-05-22 15:35:32,2026-05-22 16:38:20,2026-05-22 16:58:20,2026-05-22 19:57:59,2026-05-22 19:14:26,False,Under Investigation,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,163,120
CSE-E,ALT-00094,ASSET-039,MEDIUM,Malware,2026-01-12 14:41:51,2026-01-12 15:47:24,2026-01-12 16:07:24,2026-01-12 18:23:32,2026-01-12 21:38:34,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,199,158
CSE-D,ALT-00095,ASSET-081,LOW,Phishing,2026-05-02 12:34:21,2026-05-02 12:57:28,,,2026-05-02 19:13:18,False,Under Investigation,False,N/A,CRITICAL,140,126
CSE-E,ALT-00096,ASSET-090,MEDIUM,Malware,2026-05-30 17:56:40,2026-05-30 19:34:19,,,2026-05-30 22:31:11,False,True Positive,False,Closed quickly — no notes.,CRITICAL,74,47
CSE-B,ALT-00097,ASSET-069,HIGH,Data Exfiltration,2026-04-16 17:02:55,2026-04-16 17:15:40,2026-04-16 17:22:40,2026-04-16 19:51:00,2026-04-17 02:44:04,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,160,136
CSE-C,ALT-00098,ASSET-093,MEDIUM,Data Exfiltration,2026-03-05 14:05:14,2026-03-05 14:26:03,2026-03-05 14:33:03,2026-03-05 14:57:48,2026-03-05 17:28:33,False,Escalated to Tier-2,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,105,40
CSE-D,ALT-00099,ASSET-062,LOW,Unauthorized Access,2026-03-30 04:59:18,2026-03-30 05:02:36,,,2026-03-30 11:57:35,False,True Positive,False,,CRITICAL,185,179
CSE-C,ALT-00100,ASSET-021,CRITICAL,Data Exfiltration,2026-03-04 12:51:40,2026-03-04 13:06:43,2026-03-04 13:17:43,2026-03-04 13:42:13,2026-03-04 14:36:43,False,Escalated to Tier-2,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,150,45
CSE-C,ALT-00101,ASSET-005,HIGH,Malware,2026-01-23 12:57:34,2026-01-23 13:46:20,,,2026-01-23 15:35:46,False,True Positive,False,,MEDIUM,140,60
CSE-C,ALT-00102,ASSET-065,LOW,Malware,2026-03-18 10:49:59,2026-03-18 11:12:17,,,2026-03-18 16:10:50,False,Escalated to Tier-2,False,N/A,HIGH,114,52
CSE-B,ALT-00103,ASSET-013,MEDIUM,Phishing,2026-02-17 14:45:50,2026-02-17 15:28:26,2026-02-17 15:35:26,2026-02-17 16:25:05,2026-02-17 23:15:58,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,105,75
CSE-A,ALT-00104,ASSET-052,HIGH,Data Exfiltration,2026-04-25 11:15:19,2026-04-25 11:36:05,2026-04-25 11:45:05,2026-04-25 15:04:49,2026-04-25 13:24:47,True,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,198,209
